wai-app-static 1.3.1.2
wai-eventsource 1.3.0.4
wai-extra 1.3.3.2
wai-handler-fastcgi 1.3.0.2
wai-handler-launch 1.3.1.4
wai-handler-scgi 1.3.0.2
wai-logger 0.3.0
wai-logger-prefork 0.3.0
wai-test 1.3.0.5
warp 1.3.7.4
warp-tls 1.4.0.1
webkit 0.12.3
web-plugins 0.2.1
web-routes 0.27.2
weighted-regexp 0.3.1.2
wl-pprint-text 1.1.0.0
word8 0.0.2
X11 1.6.1.1
X11-xft 0.3.1
xdg-basedir 0.2.2
xhtml 3000.2.1
xml 1.3.12
xml2html 0.2.0
xml-conduit 1.1.0.3
xml-hamlet 0.4.0.4
xml-types 0.3.3
xmonad 0.11
xmonad-contrib 0.11.1
xss-sanitize 0.3.2
yaml 0.8.2.3
yaml-light 0.1.4
yesod 1.1.9.3
yesod-auth 1.1.7
yesod-auth-oauth 1.1.0.2 broken due to crypto-pubkey-types-0.4
yesod-auth-account 1.1.0.1
yesod-core 1.1.8.3
yesod-default 1.1.3.2
yesod-form 1.2.1.3
yesod-json 1.1.2.2
yesod-markdown 0.7.2
yesod-newsfeed 1.1.0.1
yesod-persistent 1.1.0.1
yesod-routes 1.1.2
yesod-static 1.1.2.2
yesod-test 0.3.5
zeromq3-haskell 0.4 notest
zeromq-haskell 0.8.4
zip-archive 0.1.3.4
zlib 0.5.4.1
zlib-bindings 0.1.1.1
zlib-conduit 1.0.0
zlib-enum 0.2.3
